gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
HS1BP3,4.268818360655738,-0.05141204878048722,-1.34056889707218,0.1849855076400869,41,20,0.29834970846555087
OTTHUMG00000008767,4.030699344262295,-0.15482046341463374,-1.340175397164735,0.1851126626112147,41,20,0.2985320779618895
OTTHUMG00000163689,3.9944277049180332,-0.11682362195121865,-1.340159189421458,0.18511790137717685,41,20,0.2985320779618895
GPR142,3.689357213114754,0.05752703658536662,1.339809206352266,0.18523105245791305,41,20,0.2986989656254528
HECTD1,10.807844262295081,0.06636243902438999,1.339692903490633,0.1852686652897941,41,20,0.2987440311374876
FARP1-IT1,3.337568196721312,0.11345359756097562,1.3396047668370006,0.185297172906917,41,20,0.2987744106374639
OTTHUMG00000152544,5.764747868852458,0.13094969512194776,1.3395556211957633,0.1853130704056776,41,20,0.29878179405821004
OTTHUMG00000014261,3.717120491803277,0.09955347560975625,1.3395308381934363,0.18532108753605658,41,20,0.29878179405821004
OTTHUMG00000155853,3.8427673770491806,0.07030157317073282,1.3391557446271474,0.18544245981179694,41,20,0.29896187900279525
MIR105-2,2.6380775409836064,-0.06490989024390315,-1.3386342802778182,0.1856112946039886,41,20,0.2992117483314622
AKAP12,6.96214081967213,0.1174887073170705,1.3386172388647544,0.18561681407574157,41,20,0.2992117483314622
LOC100507194,3.8493103278688525,0.09294291463414694,1.3385688290134037,0.18563249401760695,41,20,0.29922141697252086
SDC2,9.448773770491803,-0.10989779268292743,-1.3383820241909092,0.1856930094716829,41,20,0.29930335129458435
OTTHUMG00000152116,2.9981708196721315,-0.09225532926829239,-1.3381523730920148,0.18576742546129216,41,20,0.29940768103683096
OTTHUMG00000032810,3.2883308196721317,0.11132249999999999,1.3379856277558075,0.18582147166283472,41,20,0.2994791709292817
CCDC37,3.291150983606557,0.03365784146341344,1.3377422963153762,0.18590036264527846,41,20,0.29959069236858377
SHISA7,3.4431716393442637,0.04885376829268395,1.3376598428562363,0.18592710080274416,41,20,0.29961815884392573
KIAA1967,7.189635737704916,0.08281975609755676,1.3376281690612402,0.18593737281279415,41,20,0.2996190889399553
LINC00951,3.042685573770492,0.08175573170731676,1.3375436281143729,0.18596479207578714,41,20,0.29964764854547454
OTTHUMG00000160234,3.9762381967213125,0.09511565853658643,1.3372566218380113,0.186057899997086,41,20,0.2997820447010032
SLC35F1,3.4996804918032782,0.05381537804878089,1.3371895613789258,0.18607966021785158,41,20,0.2998014752910387
ELOVL2-AS1,3.0755075409836063,0.05278589024390179,1.3368734882581172,0.18618224766005742,41,20,0.2999511215104037
RNA5SP340,3.2443750819672132,0.12823625609756073,1.3368078736842142,0.18620354946385434,41,20,0.2999561582753388
CAP1,11.767745901639342,-0.08774195121951678,-1.3368040665128982,0.1862047855205428,41,20,0.2999561582753388
SLC1A7,3.50847868852459,-0.030788353658536938,-1.33663480056453,0.18625974659106387,41,20,0.30002905599900076
OTTHUMG00000008243,2.977518032786886,0.0861781707317073,1.3365525086465775,0.18628647141649232,41,20,0.3000564652695416
ALG9,7.642859016393444,0.07750424390243893,1.3365179260382118,0.1862977032055549,41,20,0.30005891794703327
MIR599,4.204640327868852,0.16899949999999997,1.3364776322742684,0.1863107905186084,41,20,0.3000643587981444
MIR579,3.5684550819672127,0.21332232926829198,1.336209454259568,0.18639791179582846,41,20,0.3001890288718123
AP2M1,7.385225409836067,0.05099809756097695,1.336154254033552,0.18641584816718734,41,20,0.30020227125251026
TRIM16L,5.28231524590164,0.062315585365854353,1.336089997245054,0.18643672895966185,41,20,0.30022025367331956
TMEM41A,6.421018196721311,-0.08780400000000022,-1.3360108552803993,0.18646244925058825,41,20,0.3002460268894612
OTTHUMG00000150064,3.595734262295081,0.1023137560975611,1.3359763193032737,0.18647367391507086,41,20,0.30024845745260315
